Anno;Quartiere;NIL;Uomini;Donne;Totale;Minori;Stranieri;Famiglie registrate in anagrafe;Famiglie unipersonali registrate in anagrafe;80 e più soli fam registrate in anagrafe;Nati vivi;Nati fuori dal matrimonio;Nati con almeno un genitore straniero;Morti;Emigrati;Immigrati;80 e più;65 e più;Prima cittadinanza;residenti prima cittadinanza;Seconda cittadinanza;residenti seconda cittadinanza;Terza cittadinanza;residenti terza cittadinanza;Scuola dell'infanzia (numero);Scuola primaria (numero);Scuola secondaria di primo grado (numero);Area (metri quadrati)
2012;De Angeli - Monte Rosa;58;9396;11573;20969;3200;2774;11422;5966;849;157;56;33;208;533;685;1788;5277;Filippine;427;Francia;318;Perù;190;3;2;3;1323078,54
2012;Dergano;79;11589;10493;22082;3533;7509;12199;7022;598;211;86;106;169;502;1123;1151;3864;Egitto;1696;Cinese, Repubblica Popolare;1443;Filippine;846;3;3;3;1358615,04
2012;Duomo;1;8155;9063;17218;2727;2557;9654;5467;598;155;51;37;142;681;756;1075;3758;Filippine;483;Sri Lanka (ex Ceylon);292;Perù;148;4;4;3;2341704,07
2012;Farini;78;2097;1876;3973;566;1424;2349;1446;91;39;16;25;27;131;223;158;614;Egitto;376;Cinese, Repubblica Popolare;245;Filippine;176;0;0;0;1010230,89
2012;Figino;63;853;892;1745;273;282;857;389;46;17;5;6;20;49;48;100;347;Romania;64;Sri Lanka (ex Ceylon);44;Egitto;33;2;2;1;1424713,85
2012;Forze Armate;56;11334;12661;23995;3511;3966;11865;5149;793;177;82;69;260;564;667;1642;6096;Filippine;723;Egitto;552;Perù;431;7;5;2;3206902,39
2012;Ghisolfa;70;8121;9235;17356;2672;2973;9505;5091;755;180;67;59;189;432;613;1449;3961;Cinese, Repubblica Popolare;563;Filippine;509;Perù;274;0;0;0;1051452,21
2012;Giambellino;49;15206;16807;32013;4946;7908;17507;9650;1283;310;121;155;293;850;1215;2341;7298;Egitto;1857;Filippine;1262;Sri Lanka (ex Ceylon);630;2;2;2;1965274,21
2012;Giardini P.ta Venezia;3;27;30;57;15;12;23;8;0;1;1;1;0;1;3;1;5;Filippine;7;Sri Lanka (ex Ceylon);2;Brasile;1;1;0;0;249646,83
2012;Gorla - Precotto;16;13652;14279;27931;4149;6394;14916;7590;836;218;66;88;222;735;1054;1637;6143;Filippine;1421;Perù;695;Egitto;659;9;6;2;3005623,49
2012;Gratosoglio - Q.re Missaglia - Q.re Terrazze;41;9078;9936;19014;3038;2605;8852;3337;527;104;49;31;209;453;434;1446;5652;Egitto;419;Filippine;305;Marocco;255;3;4;2;3312818,32
2012;Greco - Segnano;13;7349;7800;15149;2309;3640;8149;4253;650;123;42;52;129;400;660;1224;3441;Filippine;740;Cinese, Repubblica Popolare;508;Egitto;422;2;2;2;1768669,43
2012;Guastalla;4;7016;8296;15312;2284;2193;8447;4652;578;111;38;21;162;437;579;1125;3650;Filippine;441;Sri Lanka (ex Ceylon);347;Perù;122;6;7;9;1548020,74
2012;Isola;11;10963;11671;22634;3179;4433;13092;7723;814;213;88;64;195;668;1039;1498;4732;Egitto;647;Cinese, Repubblica Popolare;623;Filippine;553;3;2;2;1322966,34
2012;Lambrate - Ortica;23;5170;5365;10535;1772;2162;5695;2962;298;124;46;38;133;306;419;675;2003;Filippine;418;Egitto;341;Perù;173;4;4;2;3096861,87
2012;Lodi - Corvetto;35;17604;18684;36288;5104;9040;20448;11232;1501;298;122;149;470;913;1432;2977;8950;Filippine;1511;Egitto;1491;Perù;786;9;7;4;3639092,52
2012;Lorenteggio;53;6185;7068;13253;2024;1819;6621;2915;671;81;26;27;211;268;353;1428;3826;Egitto;394;Filippine;199;Perù;144;5;4;2;2635327,1
2012;Loreto - Casoretto - NoLo;20;22936;21510;44446;6213;15444;26548;16799;1293;402;142;223;306;1308;2446;2391;7799;Egitto;2944;Filippine;2755;Cinese, Repubblica Popolare;1431;8;5;3;1747565,53
2012;Maciachini - Maggiolina;12;12488;13896;26384;3761;5373;14417;7794;1157;209;76;85;235;628;932;2119;6259;Filippine;1045;Cinese, Repubblica Popolare;759;Egitto;537;9;3;2;1674980,95
2012;Magenta - S.Vittore;7;8129;9532;17661;3039;2287;9354;4844;645;134;38;21;160;513;570;1203;3868;Filippine;384;Francia;322;Sri Lanka (ex Ceylon);293;6;6;4;1390146,88
2012;Maggiore - Musocco - Certosa;72;2384;2535;4919;756;745;2552;1174;164;53;19;12;34;136;139;308;1276;Perù;106;Ecuador;88;Egitto;88;2;2;1;3030188,71
2012;Moncucco - San Cristoforo;45;6387;6809;13196;1933;2434;7252;3952;367;105;41;29;126;357;487;776;2969;Egitto;534;Filippine;281;Perù;200;5;1;1;1596174,14
2012;Monlue' - Ponte Lambro;31;2615;2441;5056;993;1796;2499;1241;87;43;15;25;33;180;294;145;697;Egitto;306;Ecuador;210;Filippine;176;1;1;0;2639289,21
2012;Morivione;37;3693;4149;7842;1333;1311;4266;2068;188;87;29;18;131;200;308;553;1623;Filippine;235;Egitto;177;Sri Lanka (ex Ceylon);156;2;1;1;817976,68
2012;Muggiano;54;1525;1540;3065;754;204;1322;495;35;45;14;6;13;67;71;62;308;Egitto;35;Ecuador;30;Perù;23;1;1;0;444218,42
2012;N.D.;;0;0;0;0;0;0;0;0;99;49;58;0;0;0;0;0;;0;;0;;0;0;0;0;0
2012;Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi;14;17354;19448;36802;5293;4829;19056;8835;1569;284;120;85;418;851;975;3133;10263;Egitto;686;Perù;505;Filippine;392;10;6;4;4251281,95
2012;Ortomercato;29;2105;2032;4137;577;1459;2419;1465;193;29;7;21;44;142;192;333;940;Egitto;371;Filippine;241;Romania;140;1;1;0;1402519,65
